mes,inflacion_usa
ene-04,1.926252064
feb-04,1.6930639
mar-04,1.737242128
abr-04,2.285092492
may-04,3.051771117
jun-04,3.266194883
jul-04,2.990755846
ago-04,2.654387866
sep-04,2.537796976
oct-04,3.189189189
nov-04,3.52303523
dic-04,3.255561584
ene-05,2.969762419
feb-05,3.007518797
mar-05,3.148345784
abr-05,3.510638298
may-05,2.802749868
jun-05,2.530311017
jul-05,3.167898627
ago-05,3.64116095
sep-05,4.686677199
oct-05,4.347826087
nov-05,3.455497382
dic-05,3.415659485
ene-06,3.985317252
feb-06,3.597497393
mar-06,3.362648733
abr-06,3.545734841
may-06,4.166666667
jun-06,4.318766067
jul-06,4.145342886
ago-06,3.818737271
sep-06,2.062374245
oct-06,1.305220884
nov-06,1.973684211
dic-06,2.540650407
ene-07,2.075642965
feb-07,2.415198792
mar-07,2.778778779
abr-07,2.57369727
may-07,2.690864198
jun-07,2.68703795
jul-07,2.358230958
ago-07,1.970083374
sep-07,2.75505175
oct-07,3.53617443
nov-07,4.306203474
dic-07,4.081268583
ene-08,4.31141807
feb-08,4.272256866
mar-08,3.582628852
abr-08,3.170993681
may-08,2.84060034
jun-08,3.523364307
jul-08,3.385517933
ago-08,3.807769446
sep-08,3.587222409
oct-08,3.465654555
nov-08,2.927532508
dic-08,2.815231675
ene-09,-0.029837598
feb-09,-0.23563454
mar-09,0.385033073
abr-09,0.742356031
may-09,1.298069729
jun-09,1.447427594
jul-09,2.142084318
ago-09,1.506713493
sep-09,1.302964777
oct-09,0.183183225
nov-09,-1.80511256
dic-09,-2.649236625
ene-10,2.656338829
feb-10,2.384585225
mar-10,1.921527856
abr-10,1.483081421
may-10,0.713652646
jun-10,-0.388456002
jul-10,-0.887872561
ago-10,-0.353285924
sep-10,-0.157233423
oct-10,0.987196003
nov-10,3.002471461
dic-10,4.257758243
ene-11,1.631846857
feb-11,2.107584629
mar-11,2.681603264
abr-11,3.163630859
may-11,3.568645785
jun-11,3.558828252
jul-11,3.628715982
ago-11,3.771208179
sep-11,3.868356841
oct-11,3.525199921
nov-11,3.394377591
dic-11,2.962418845
ene-12,2.925216712
feb-12,2.87109878
mar-12,2.651398193
abr-12,2.302739811
may-12,1.704253775
jun-12,1.663993762
jul-12,1.408450704
ago-12,1.692378998
sep-12,1.991282081
oct-12,2.162343599
nov-12,1.764133846
dic-12,1.741022369
ene-13,1.594864668
feb-13,1.97792351
mar-13,1.473896213
abr-13,1.063085381
may-13,1.361965059
jun-13,1.754416545
jul-13,1.960681612
ago-13,1.51836756
sep-13,1.184925262
oct-13,0.963612705
nov-13,1.237072205
dic-13,1.50173562
ene-14,1.578947368
feb-14,1.12634925
mar-14,1.512202876
abr-14,1.952857899
may-14,2.12711155
jun-14,2.072341373
jul-14,1.992328636
ago-14,1.699611334
sep-14,1.657918676
oct-14,1.664340216
nov-14,1.322355182
dic-14,0.75649327
ene-15,-0.089348313
feb-15,-0.025129802
mar-15,-0.073637391
abr-15,-0.199517446
may-15,-0.039932745
jun-15,0.123771204
jul-15,0.16956978
ago-15,0.195079293
sep-15,-0.036129748
oct-15,0.170574436
nov-15,0.501797579
dic-15,0.729519786
ene-16,1.373086814
feb-16,1.01779978
mar-16,0.852536221
abr-16,1.125110419
may-16,1.019322554
jun-16,0.997326495
jul-16,0.82713887
ago-16,1.062874503
sep-16,1.463783647
oct-16,1.635987521
nov-16,1.692537163
dic-16,2.074622133
ene-17,2.500042209
feb-17,2.737958171
mar-17,2.380612433
abr-17,2.199689878
may-17,1.874877721
jun-17,1.633487955
jul-17,1.727978456
ago-17,1.938974212
sep-17,2.232963865
oct-17,2.041128702
nov-17,2.202582939
dic-17,2.109082475
ene-18,2.07050762
feb-18,2.211795421
mar-18,2.359711404
abr-18,2.462743943
may-18,2.801011715
jun-18,2.871547835
jul-18,2.949515087
ago-18,2.699180104
sep-18,2.276972194
oct-18,2.522469929
nov-18,2.176601032
dic-18,1.910158849
ene-19,1.551235138
feb-19,1.520135266
mar-19,1.862522741
abr-19,1.996439776
may-19,1.790228469
jun-19,1.648484656
jul-19,1.811464806
ago-19,1.749779889
sep-19,1.711304513
oct-19,1.764042944
nov-19,2.051277982
dic-19,2.28512974
ene-20,2.486571955
feb-20,2.334873564
mar-20,1.539326992
abr-20,0.329096686
may-20,0.11792637
jun-20,0.645733048
jul-20,0.986081825
ago-20,1.309645382
sep-20,1.371324861
oct-20,1.182066168
nov-20,1.174535784
dic-20,1.362005495
ene-21,1.399769742
feb-21,1.676215217
mar-21,2.619762509
abr-21,4.159694839
may-21,4.992706538
jun-21,5.391451413
jul-21,5.365475239
ago-21,5.251271555
sep-21,5.390348855
oct-21,6.221868903
nov-21,6.80900284
dic-21,7.036402866
ene-22,7.479872468
feb-22,7.871063898
mar-22,8.542455555
abr-22,8.258629341
may-22,8.581511544
jun-22,9.059757965
jul-22,8.524814746
ago-22,8.262692503
sep-22,8.201669644
oct-22,7.7
nov-22,7.1
dic-22,6.5
ene-23,6.4